Atleta,Pais,WOD 1,,WOD 2,,WOD 3,,WOD 4,
,,Puntos,Detalle,Puntos,Detalle,Puntos,Detalle,Puntos,Detalle
JHONATAN QUIRAMA,japon,3,"14:00
11 HSPU (3 Ronda)",2,175 lbs,5,"16:00
600 mts
Tiebreak 8:11",3,9:21
ANDRES TABORDA,suecia,2,"14:00
15 HSPU (3 Ronda)",4,155 lbs ,4,15:49,6,"12:00
2 Rope Climb"
SEBAS ARCE,noruega,4,"14:00
4 HSPU (3 Ronda)",3,165 lbs,2,14:46,4,9:52
DANIEL FRANCO,marruecos,1,12:59,1,185 lbs,1,14:43,1,8:51
JUANCA RESTREPO,iraq,5,"14:00
1 Cluster (2 Ronda)",3,165 lbs,3,14:49,2,8:54
PIPE CORREA,ecuador,6,"14:00
12 BMU (2 Ronda)",6,135 lbs,6,"16:00
600 mts
Tiebreak 8:27",7,"12:00
12 Hang P S"
JUAN FERNÁNDEZ,filandia,7,"14:00
18 HSPU (2 Ronda)",5,145 lbs,7,"16:00
200 mts",5,"12:00
5 Rope Climb"
