Atleta,Pais,WOD 1,,WOD 2.A,,WOD 2.B,
,,Puntos,Detalle,Puntos,Detalle,Puntos,Detalle
Esmeralda Bustamante,Republica Checa,1,7:39,1,72 Saltos,1,20 lbs
Johanna Zapata,Arabia Saudita,6,"11:00
16 Burpees",6,122 Saltos,4,80 lbs
Nikolle,Uzbekistan,4,"10:00
Tiebreak 04:43",1,304 Saltos,2,80 lbs
Johana Bedoya,Portugal,2,8:46,2,296 Saltos,1,100 lbs
Melissa Jimenez,Escocia,3,"10:00
Tiebreak 04:21",5,258 Saltos,4,75 lbs
Daniela Tilano,Nueva Zelanda,5,"11:00
27 Burpees",4,279 Saltos,5,65 lbs
Yaz,Haiti,1,8:36,3,283 Saltos,3,80 lbs
