Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5 Final,TOTAL
Valen Villegas - Caro Rivera,1,1,1,2,,,5
Yeferin Sanchez - Majo Ramirez,2,2,1,1,,,6
Angie Ospina - Mariana Portela,3,3,2,2,,,10
