Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5 Final,TOTAL
Elkin Orrego - Jose Orrego,2,1,1,1,1,A,6
Dani Uribe - Sebas Ossa,1,2,3,3,2,A,11
Juan Fernandez - Daniela Palacio,3,3,2,2,3,A,13
