Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5 Final,TOTAL
Elkin Orrego - Jose Orrego,,,,1,,,1
Dani Uribe - Sebas Ossa,,,,1,,,1
Juan Fernandez - Daniela Palacio,,,,2,,,2
