Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5 Final,TOTAL
Alejo Orrego - Jacobo Gil,1,,,,,,1
Mauro Castellanos - David Suarez,2,,,,,,2
Santi Hoyos - David Guzman,3,,,,,,3
Cristian Calde - Juanca Rojas,4,,,,,,4
