Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5 Final,TOTAL
Dani Mesa - Jhos Castaneda,,,1,,,,1
Freddicito - Vane Grimaldos,,,2,,,,2
Leo Villegas - Daniel Franco,,,3,,,,3
Cami Hernandez - Jordan Zamora,,,5,,,,5
Manes - Dari Ayala,,,4,,,,4
Diego - Mitchel Taylor,,,7,,,,7
Pri - Joao,,,4,,,,4
Moro - Juanca Restrepo,,,8,,,,8
Cami Gallego - Sebas Espitia,,,9,,,,9
Ari - Samu Ramirez,,,7,,,,7
Mauro - Juan Marin,,,5,,,,5
Sebas - Juancho,,,4,,,,4
German Ceballos - Chris,,,3,,,,3
