Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5 Final,TOTAL
Meli Lopez - Sofi Cabrera,,,2,,,,2
Stefania Luna - Maye Parra,,,3,,,,3
MP Santa - Tati Orozco,,,1,,,,1
Pau Zuluaga - Glo Vega,,,4,,,,4
Sara Gomez - Susi Alvarez,,,5,,,,5
Isa Jimenez - Sharon Montano,,,6,,,,6
Kelly Garcia - Mile Salazar,,,6,,,,6
