Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5 Final,TOTAL
Sebas Arce - David Castaneda,,,1,,,,1
Andres Taborda - Duvan Blandon,,,2,,,,2
Daniel Toro - Gio Vega,,,3,,,,3
