Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5 Final,TOTAL
Valen Villegas - Caro Rivera,2,,,,,,2
Yeferin Sanchez - Majo Ramirez,1,,,,,,1
Angie Ospina - Mariana Portela,3,,,,,,3
